UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1575763200000,2019-12-07T19:00:00,Saturday,7487.31,7564.0,7374.86,7510.11,29856.897631
1575849600000,2019-12-08T19:00:00,Sunday,7510.11,7650.0,7273.0,7338.64,46621.887493
1575936000000,2019-12-09T19:00:00,Monday,7338.64,7407.6,7157.1,7224.13,49723.76214
1576022400000,2019-12-10T19:00:00,Tuesday,7224.15,7275.5,7125.66,7210.0,30093.091944
1576108800000,2019-12-11T19:00:00,Wednesday,7210.0,7295.0,7080.3,7198.08,42288.600932
1576195200000,2019-12-12T19:00:00,Thursday,7197.76,7309.05,7190.76,7258.48,27609.873795
1576281600000,2019-12-13T19:00:00,Friday,7257.37,7271.77,7012.0,7064.05,29561.985967
1576368000000,2019-12-14T19:00:00,Saturday,7064.14,7200.3,7008.35,7118.59,26395.778137
1576454400000,2019-12-15T19:00:00,Sunday,7119.6,7150.0,6836.0,6891.72,43863.993059
1576540800000,2019-12-16T19:00:00,Monday,6891.44,6942.21,6560.0,6623.82,53865.069929
1576627200000,2019-12-17T19:00:00,Tuesday,6623.84,7440.0,6435.0,7277.83,95636.651251
1576713600000,2019-12-18T19:00:00,Wednesday,7277.83,7380.0,7038.31,7150.3,55509.049075
1576800000000,2019-12-19T19:00:00,Thursday,7151.31,7220.0,7079.5,7187.83,32132.069205
1576886400000,2019-12-20T19:00:00,Friday,7188.01,7190.58,7105.0,7132.75,19467.174028
1576972800000,2019-12-21T19:00:00,Saturday,7131.59,7518.54,7122.47,7501.44,39137.45515
1577059200000,2019-12-22T19:00:00,Sunday,7500.71,7695.38,7265.84,7317.09,68051.99720299999
1577145600000,2019-12-23T19:00:00,Monday,7317.3,7436.68,7157.04,7255.77,43629.494188
1577232000000,2019-12-24T19:00:00,Tuesday,7255.77,7271.77,7128.86,7204.63,27492.044323000002
1577318400000,2019-12-25T19:00:00,Wednesday,7205.01,7435.0,7157.12,7202.0,36259.761076
1577404800000,2019-12-26T19:00:00,Thursday,7202.0,7275.86,7076.42,7254.74,33642.701861
1577491200000,2019-12-27T19:00:00,Friday,7254.77,7365.01,7238.67,7316.14,26848.982199000002
1577577600000,2019-12-28T19:00:00,Saturday,7315.36,7528.45,7288.0,7388.24,31387.106085000003
1577664000000,2019-12-29T19:00:00,Sunday,7388.43,7408.24,7220.0,7246.0,29605.911782
1577750400000,2019-12-30T19:00:00,Monday,7246.0,7320.0,7145.01,7195.23,25954.453533
1577836800000,2019-12-31T19:00:00,Tuesday,7195.24,7255.0,7175.15,7200.85,16792.388165
1577923200000,2020-01-01T19:00:00,Wednesday,7200.77,7212.5,6924.74,6965.71,31951.483932
1578009600000,2020-01-02T19:00:00,Thursday,6965.49,7405.0,6871.04,7344.96,68428.500451
1578096000000,2020-01-03T19:00:00,Friday,7345.0,7404.0,7272.21,7354.11,29987.974976999998
1578182400000,2020-01-04T19:00:00,Saturday,7354.19,7495.0,7318.0,7358.75,38331.085604
1578268800000,2020-01-05T19:00:00,Sunday,7357.64,7795.34,7346.76,7758.0,54635.695316
1578355200000,2020-01-06T19:00:00,Monday,7758.9,8207.68,7723.71,8145.28,91171.684661
1578441600000,2020-01-07T19:00:00,Tuesday,8145.92,8455.0,7870.0,8055.98,112622.64264
1578528000000,2020-01-08T19:00:00,Wednesday,8054.72,8055.96,7750.0,7817.76,64239.51983
1578614400000,2020-01-09T19:00:00,Thursday,7817.74,8199.0,7672.0,8197.02,82406.77744800001
1578700800000,2020-01-10T19:00:00,Friday,8198.86,8286.34,8003.16,8020.01,54810.03266699999
1578787200000,2020-01-11T19:00:00,Saturday,8020.01,8197.0,7960.0,8184.98,38131.494336
1578873600000,2020-01-12T19:00:00,Sunday,8184.97,8196.0,8055.89,8110.34,31159.755683
1578960000000,2020-01-13T19:00:00,Monday,8110.34,8880.0,8105.54,8810.01,120399.12674200001
1579046400000,2020-01-14T19:00:00,Tuesday,8814.64,8916.48,8564.0,8821.41,84816.297606
1579132800000,2020-01-15T19:00:00,Wednesday,8820.01,8859.81,8586.0,8720.01,51991.074283999995
1579219200000,2020-01-16T19:00:00,Thursday,8720.15,9041.65,8672.44,8913.28,70897.737377
1579305600000,2020-01-17T19:00:00,Friday,8913.27,8988.88,8806.38,8915.96,38294.746545
1579392000000,2020-01-18T19:00:00,Saturday,8915.09,9198.98,8466.0,8701.7,70676.889259
1579478400000,2020-01-19T19:00:00,Sunday,8701.72,8746.99,8521.28,8642.35,38896.639746
1579564800000,2020-01-20T19:00:00,Monday,8642.35,8789.0,8488.0,8736.03,36494.687658999996
1579651200000,2020-01-21T19:00:00,Tuesday,8736.04,8818.0,8590.0,8682.36,29080.557138
1579737600000,2020-01-22T19:00:00,Wednesday,8682.77,8691.81,8306.39,8404.52,48165.944597
1579824000000,2020-01-23T19:00:00,Thursday,8404.52,8528.02,8238.0,8439.0,41687.529529
1579910400000,2020-01-24T19:00:00,Friday,8438.99,8451.26,8254.9,8340.58,25521.157932
1579996800000,2020-01-25T19:00:00,Saturday,8340.01,8618.13,8293.66,8615.0,31130.485163999998
1580083200000,2020-01-26T19:00:00,Sunday,8614.39,9000.0,8535.0,8907.57,53973.542996000004
1580169600000,2020-01-27T19:00:00,Monday,8907.57,9400.0,8862.4,9374.21,74584.85376499999
1580256000000,2020-01-28T19:00:00,Tuesday,9375.34,9449.24,9216.0,9301.53,53864.065122
1580342400000,2020-01-29T19:00:00,Wednesday,9301.57,9578.0,9204.44,9513.21,60626.74425900001
1580428800000,2020-01-30T19:00:00,Thursday,9511.52,9530.22,9210.01,9352.89,45552.022352
1580515200000,2020-01-31T19:00:00,Friday,9351.71,9464.53,9281.0,9384.61,28578.067354000003
1580601600000,2020-02-01T19:00:00,Saturday,9384.41,9477.03,9120.0,9331.51,45690.91254
1580688000000,2020-02-02T19:00:00,Sunday,9331.59,9618.79,9234.0,9292.24,50892.133451
1580774400000,2020-02-03T19:00:00,Monday,9291.35,9350.0,9093.01,9197.02,53308.175266000006
1580860800000,2020-02-04T19:00:00,Tuesday,9197.02,9744.45,9177.22,9612.04,64870.415615
1580947200000,2020-02-05T19:00:00,Wednesday,9612.03,9862.57,9526.35,9772.0,64949.706588
1581033600000,2020-02-06T19:00:00,Thursday,9772.0,9885.0,9730.0,9813.73,43966.114632
1581120000000,2020-02-07T19:00:00,Friday,9813.87,9940.0,9667.11,9895.05,43600.843666
1581206400000,2020-02-08T19:00:00,Saturday,9895.04,10166.0,9880.75,10151.75,43408.475616
1581292800000,2020-02-09T19:00:00,Sunday,10151.72,10188.0,9756.0,9851.83,59573.08461900001
1581379200000,2020-02-10T19:00:00,Monday,9851.74,10323.59,9700.0,10223.08,62422.395224
1581465600000,2020-02-11T19:00:00,Tuesday,10223.08,10450.0,10223.08,10326.46,61008.06393
1581552000000,2020-02-12T19:00:00,Wednesday,10325.33,10500.0,10080.0,10229.63,79344.35875900001
1581638400000,2020-02-13T19:00:00,Thursday,10227.78,10381.56,10111.37,10344.36,47038.480173
